CSAFP	GEOID	NAME	CBSA_TYPE	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                             
434	10260	Adjuntas, PR Micro Area	2	172725731	1051789	66.69	0.406	18.181611	-66.758165                                                                                                                  
220	10300	Adrian, MI Micro Area	2	1941541486	30482189	749.633	11.769	41.896022	-84.074356                                                                                                               
184	10420	Akron, OH Metro Area	1	2331552026	62086003	900.217	23.972	41.146639	-81.35011                                                                                                                 
440	10540	Albany, OR Metro Area	1	5923636964	50354267	2287.129	19.442	44.488898	-122.537208                                                                                                             
104	10580	Albany-Schenectady-Troy, NY Metro Area	1	7282214082	172506034	2811.679	66.605	42.78792	-73.942348                                                                                             
172	10620	Albemarle, NC Micro Area	2	1023370459	25242751	395.126	9.746	35.310449	-80.254374                                                                                                             
290	10700	Albertville, AL Micro Area	2	1465531860	148495464	565.845	57.334	34.309564	-86.321668                                                                                                         
106	10740	Albuquerque, NM Metro Area	1	24043709785	31770733	9283.329	12.267	35.123496	-106.458392                                                                                                       
142	10760	Alexander City, AL Micro Area	2	1855782851	128806123	716.522	49.732	32.863308	-85.799618                                                                                                      
204	10860	Alice, TX Micro Area	2	2240779987	8739522	865.17	3.374	27.733516	-98.090814                                                                                                                   
408	10900	Allentown-Bethlehem-Easton, PA-NJ Metro Area	1	3762849882	58422466	1452.845	22.557	40.789339	-75.398158                                                                                       
394	10940	Alma, MI Micro Area	2	1472098936	8369164	568.381	3.231	43.292326	-84.60469                                                                                                                    
108	11100	Amarillo, TX Metro Area	1	13338911474	87011698	5150.183	33.595	35.247897	-101.908638                                                                                                          
218	11180	Ames, IA Metro Area	1	1483295645	2449263	572.704	0.946	42.037538	-93.466093                                                                                                                   
104	11220	Amsterdam, NY Micro Area	2	1044066971	18599188	403.117	7.181	42.900891	-74.435357                                                                                                             
258	11420	Angola, IN Micro Area	2	799729302	35454787	308.777	13.689	41.643467	-85.002405                                                                                                                
220	11460	Ann Arbor, MI Metro Area	1	1828460768	42602260	705.973	16.449	42.252217	-83.843423                                                                                                            
118	11540	Appleton, WI Metro Area	1	2475662338	222289810	955.859	85.827	44.290603	-88.372326                                                                                                            
412	11580	Arcadia, FL Micro Area	2	1649027555	6243548	636.693	2.411	27.190581	-81.806253                                                                                                                
490	11640	Arecibo, PR Metro Area	1	613199234	231835716	236.758	89.512	18.439224	-66.759981                                                                                                              
556	11680	Arkansas City-Winfield, KS Micro Area	2	2915648163	17322935	1125.738	6.688	37.234507	-96.837247                                                                                               
120	11700	Asheville, NC Metro Area	1	5264415421	21759544	2032.602	8.401	35.595669	-82.681615                                                                                                            
360	11740	Ashland, OH Micro Area	2	1095464863	9966289	422.961	3.848	40.843273	-82.270127                                                                                                                
184	11780	Ashtabula, OH Micro Area	2	1818360016	1724498212	702.073	665.833	41.906637	-80.745592                                                                                                         
312	11860	Atchison, KS Micro Area	2	1116736559	6851102	431.174	2.645	39.532544	-95.313397                                                                                                               
174	11940	Athens, TN Micro Area	2	1113997274	5340568	430.117	2.062	35.424472	-84.619949                                                                                                                 
206	11980	Athens, TX Micro Area	2	2263061592	193211786	873.773	74.599	32.211633	-95.853418                                                                                                              
122	12020	Athens-Clarke County, GA Metro Area	1	2654578969	26163164	1024.939	10.102	33.943984	-83.213897                                                                                                
122	12060	Atlanta-Sandy Springs-Roswell, GA Metro Area	1	22495876864	388361722	8685.707	149.947	33.693728	-84.399911                                                                                    
428	12100	Atlantic City-Hammonton, NJ Metro Area	1	1438772543	301272800	555.513	116.322	39.469355	-74.633759                                                                                            
426	12120	Atmore, AL Micro Area	2	2448115119	20504948	945.223	7.917	31.122287	-87.16841                                                                                                                 
258	12140	Auburn, IN Micro Area	2	939731959	2657419	362.833	1.026	41.401189	-85.000185                                                                                                                  
532	12180	Auburn, NY Micro Area	2	1791190506	445708165	691.583	172.089	43.008546	-76.574587                                                                                                             
194	12220	Auburn-Opelika, AL Metro Area	1	1573548952	21492291	607.551	8.298	32.604064	-85.353048                                                                                                        
462	12380	Austin, MN Micro Area	2	1842332264	617233	711.328	0.238	43.666249	-92.759514                                                                                                                  
533	12460	Bainbridge, GA Micro Area	2	1546667777	67329701	597.172	25.996	30.880597	-84.583895                                                                                                           
548	12580	Baltimore-Columbia-Towson, MD Metro Area	1	6737755018	1304230857	2601.462	503.566	39.304361	-76.549501                                                                                        
357	12660	Baraboo, WI Micro Area	2	2153686396	45692629	831.543	17.642	43.428001	-89.943318                                                                                                              
350	12680	Bardstown, KY Micro Area	2	1081354961	16997384	417.514	6.563	37.80312	-85.465931                                                                                                              
148	12700	Barnstable Town, MA Metro Area	1	1021048430	2360287543	394.229	911.312	41.799014	-70.21188                                                                                                    
538	12780	Bartlesville, OK Micro Area	2	1076019764	22829398	415.454	8.814	36.70438	-95.906155                                                                                                           
384	12820	Bastrop, LA Micro Area	2	2058860091	28888919	794.93	11.154	32.820008	-91.800399                                                                                                               
464	12860	Batavia, NY Micro Area	2	1276700275	6142607	492.937	2.372	43.00091	-78.192778                                                                                                                 
310	12980	Battle Creek, MI Metro Area	1	1829198158	31268858	706.257	12.073	42.24299	-85.012385                                                                                                          
474	13020	Bay City, MI Metro Area	1	1145397300	488150978	442.24	188.476	43.699711	-83.978701                                                                                                            
288	13060	Bay City, TX Micro Area	2	2830586734	1345801267	1092.896	519.617	28.77476	-96.001532                                                                                                          
339	13100	Beatrice, NE Micro Area	2	2205275200	22010741	851.462	8.498	40.255234	-96.683453                                                                                                              
376	13180	Beaver Dam, WI Micro Area	2	2268072980	81308121	875.708	31.393	43.422659	-88.704396                                                                                                           
144	13260	Bedford, IN Micro Area	2	1163367154	7122898	449.179	2.75	38.839815	-86.48782                                                                                                                  
198	13340	Bellefontaine, OH Micro Area	2	1187364299	21570908	458.444	8.329	40.387553	-83.766343                                                                                                         
140	13460	Bend-Redmond, OR Metro Area	1	7815545146	94755758	3017.599	36.585	43.915118	-121.225575                                                                                                       
266	13660	Big Rapids, MI Micro Area	2	1437746376	41762974	555.117	16.125	43.635295	-85.332751                                                                                                           
142	13820	Birmingham-Hoover, AL Metro Area	1	13673857493	233787878	5279.506	90.266	33.462372	-86.814338                                                                                                 
292	13940	Blackfoot, ID Micro Area	2	5422887259	68487093	2093.789	26.443	43.216357	-112.399206                                                                                                          
145	14010	Bloomington, IL Metro Area	1	4094214409	27369643	1580.785	10.567	40.405593	-88.861307                                                                                                         
144	14020	Bloomington, IN Metro Area	1	2019718554	50077031	779.818	19.335	39.241736	-86.671754                                                                                                          
146	14100	Bloomsburg-Berwick, PA Metro Area	1	1588566996	23674171	613.349	9.141	41.040404	-76.461654                                                                                                    
406	14220	Bogalusa, LA Micro Area	2	1734074152	16457670	669.53	6.354	30.852144	-90.046253                                                                                                               
147	14260	Boise City, ID Metro Area	1	30475309856	171029962	11766.583	66.035	43.006648	-116.141909                                                                                                      
